trigger,x:Right Upper Arm/leg,y:Right Upper Arm/leg,z:Right Upper Arm/leg,x:Right Lower Arm,y:Right Lower Arm,z:Right Lower Arm,x:Right Head,y:Right Head,z:Right Head,x:Left Head,y:Left Head,z:Left Head,x:Left Upper Arm/leg,y:Left Upper Arm/leg,z:Left Upper Arm/leg,x:Left Lower Arm,y:Left Lower Arm,z:Left Lower Arm
0,208,-4924,18064,9280,416,15172,7756,14232,4496,9356,-14044,2844,-3528,412,14008,7748,5600,13232
0,224,-5268,17608,9376,376,15172,7588,14376,4708,9088,-14140,2748,-3260,132,14196,7536,5356,13452
0,144,-5436,17496,9420,344,14992,7348,14436,4636,8856,-14316,2680,-2932,76,14284,7064,5496,13792
0,-68,-5268,17036,9632,584,14628,7184,14424,4780,8540,-14488,2644,-2548,-80,14984,6740,5556,14016
0,-312,-5284,16976,9748,756,14072,6984,14404,4792,8260,-14592,2620,-2268,-136,15220,6616,5424,14424
0,-584,-5336,16712,9932,724,13880,6796,14316,4920,8136,-14464,2620,-2164,-172,15412,6844,5384,14628
0,-652,-5600,16392,9856,572,13524,6624,14172,5044,8032,-14440,2644,-1924,-220,15812,6628,5364,14744
0,-872,-5584,16284,9996,816,13412,6476,14060,4956,8020,-14468,2420,-1928,-192,15836,6668,5252,14888
0,-724,-5836,16368,10004,980,13336,6496,13888,5064,7836,-14628,2324,-1672,-348,15720,6520,5224,14908
0,-764,-6060,16356,10088,724,13220,6488,13792,5320,7952,-14536,2204,-1736,-424,15448,6540,5216,14996
0,-844,-6196,16364,10204,932,13356,6484,13844,5292,7956,-14748,2308,-1832,-584,15320,6320,5180,15040
0,-840,-6220,16416,10300,1176,13484,6484,13868,5380,7916,-14944,2128,-1796,-516,14948,6180,5288,14792
0,-768,-6456,16480,10356,1296,13648,6484,13892,5452,7868,-15068,2064,-1824,-524,14592,6036,5448,14608
0,-756,-6244,16404,10420,1284,13792,6520,13892,5444,7840,-15208,2216,-1864,-696,14288,5956,5540,14484
0,-744,-6136,16560,10348,1340,13936,6820,14100,5588,7824,-15264,1952,-2044,-792,14236,5832,5732,14056
0,-816,-5768,16672,10380,1240,13680,6736,14044,5608,7912,-15332,2088,-2220,-944,14064,5880,5800,14124
0,-804,-5596,16480,10148,760,13592,6900,14080,5560,7884,-15240,2064,-2428,-900,14204,5840,5740,13948
0,-984,-5204,16416,10032,220,13476,6876,14096,5608,7940,-15256,1992,-2472,-884,14336,6148,5952,13912
0,-1152,-4868,16164,9816,-104,13740,6812,14032,5528,7888,-15084,2200,-2508,-804,14388,6344,5736,14060
0,-1208,-4532,16260,9760,-332,13540,6932,14020,5484,7956,-14960,2132,-2428,-476,14660,6444,5804,14192
0,-1212,-4412,16364,9760,-508,13476,6840,13892,5368,8056,-14776,2288,-2444,-208,15176,6616,5756,14332
0,-1056,-4524,16684,9552,-540,13584,6868,13920,5320,8040,-14572,2268,-2272,-48,15460,6712,5624,14356
0,-1048,-4536,16828,9756,-304,13784,6980,14040,5200,8088,-14588,2288,-2372,260,15484,6816,5580,14528
0,-716,-4748,16732,9668,56,13896,6892,14040,5136,8208,-14512,2340,-2224,412,15544,7088,5384,14388
0,-500,-5256,17008,9688,308,14252,7072,14040,5112,8260,-14420,2504,-2480,388,15584,7236,5460,14480
0,-244,-5476,17088,9712,628,14388,7088,14148,5036,8380,-14452,2376,-2480,436,15664,7404,5548,14332
0,68,-5572,17328,9712,952,14880,6956,14268,5032,8380,-14388,2388,-2800,168,15692,7364,5736,14472
0,92,-5776,17772,9864,1296,14672,7048,14316,4940,8572,-14312,2576,-2920,88,15532,7440,5728,14140
0,196,-6140,17692,9928,1692,14928,7104,14348,4812,8444,-14380,2700,-2884,76,15040,7404,5860,13924
0,356,-6072,17632,9680,1560,14912,7012,14404,4868,8480,-14340,2660,-3064,88,14788,7352,5792,13644
0,388,-6120,17548,9672,1284,14824,6996,14224,4928,8428,-14404,2772,-3212,16,14504,7256,5752,13560
0,208,-5776,17356,9548,1476,14800,6984,14208,5044,8468,-14364,2584,-3156,232,14476,7132,5752,13556
0,224,-5848,16876,9508,1332,14700,6944,14272,5216,8504,-14408,2364,-3120,208,14448,7248,5636,13376
0,172,-5548,16992,9488,1032,14264,6960,14152,5028,8492,-14412,2512,-3096,256,14460,7196,5508,13488
0,-188,-5520,16960,9556,1288,14236,6952,14164,5304,8500,-14568,2408,-3028,348,14372,7160,5404,13668
0,-200,-5024,16564,9480,936,14128,6992,14096,5320,8388,-14520,2404,-2928,380,14244,7224,5468,13724
0,-476,-4744,16584,9388,300,13924,6804,14168,5152,8352,-14600,2128,-2872,452,14448,7056,5452,13620
0,-572,-4632,16604,9616,376,13744,6948,14060,5480,8456,-14644,2124,-2900,152,14508,7104,5536,13848
0,-588,-4580,16564,9572,416,13832,7064,13856,5324,8416,-14664,2128,-2784,288,14652,7120,5588,14004
0,-476,-4720,16628,9364,52,13980,7028,13984,5348,8448,-14636,2000,-2772,68,14796,7208,5628,13952
0,-524,-4644,16828,9576,192,14044,7048,13912,5396,8416,-14664,2108,-2564,-88,14828,6860,5528,14100
0,-368,-4628,16956,9552,220,14244,7104,13868,5480,8412,-14696,2160,-2652,-36,14960,6928,5728,13968
0,-452,-4748,17096,9672,64,14296,6908,13912,5364,8388,-14712,1992,-2676,-104,14896,6968,5832,14036
0,-440,-4768,17056,9736,408,14168,7052,13980,5464,8380,-14616,2016,-2624,-56,15004,6916,5756,13940
