trigger,x:Right Upper Arm/leg,y:Right Upper Arm/leg,z:Right Upper Arm/leg,x:Right Lower Arm,y:Right Lower Arm,z:Right Lower Arm,x:Right Head,y:Right Head,z:Right Head,x:Left Head,y:Left Head,z:Left Head,x:Left Upper Arm/leg,y:Left Upper Arm/leg,z:Left Upper Arm/leg,x:Left Lower Arm,y:Left Lower Arm,z:Left Lower Arm
0,-3396,-3744,16876,7228,-964,15528,5196,5132,15336,6536,-10028,-10904,-1960,-204,14952,7488,4772,13980
0,-3244,-3796,16972,7112,-860,15360,5236,5148,15580,6556,-10192,-11076,-1880,-44,15160,7312,4808,13864
0,-3472,-3896,16920,7296,-964,15448,5140,5060,15392,6548,-10116,-10892,-1996,-28,15284,7332,4852,14112
0,-3420,-3896,16836,7184,-864,15404,5152,5052,15512,6516,-10068,-10840,-1908,-48,15260,7440,4988,14236
0,-3280,-3956,16704,7280,-784,15404,5224,5032,15528,6540,-10124,-11004,-1852,-204,15080,7252,4880,14212
0,-3324,-4016,16660,7292,-848,15600,5148,5052,15484,6568,-9988,-11044,-1996,-432,15104,7364,5004,14164
0,-3392,-4004,16832,7252,-1000,15612,5208,5056,15548,6600,-10104,-10948,-2068,-376,14868,7344,5060,14104
0,-3428,-3984,16832,7240,-916,15464,5136,4960,15348,6544,-10088,-10928,-1904,-436,14744,7408,5044,14256
0,-3428,-3912,16968,7352,-960,15452,5180,5084,15352,6488,-10152,-10844,-2120,-480,14956,7216,4868,13920
0,-3312,-3896,16948,7292,-940,15516,5248,5116,15492,6612,-10148,-11028,-1968,-492,14748,7204,5144,13844
0,-3340,-3860,16912,7176,-980,15608,5256,5184,15384,6504,-10084,-10912,-2040,-360,14824,7316,4904,14008
0,-3328,-3808,17076,7196,-1040,15452,5204,5220,15468,6644,-10176,-10952,-2064,-796,14808,7420,4752,13988
0,-3324,-3768,16744,7192,-992,15416,5192,5168,15420,6596,-10164,-10908,-1984,-336,14868,7404,4988,14080
0,-3464,-3736,16836,7256,-1028,15396,5168,5120,15592,6500,-10104,-10980,-2068,-296,14804,7492,4764,14168
0,-3448,-3780,16796,7320,-1040,15384,5192,5040,15560,6448,-10148,-10872,-2152,-36,15088,7300,4992,14240
0,-3388,-3928,16760,7152,-1056,15192,5196,5096,15504,6524,-10156,-10772,-1960,-80,14892,7348,5092,14232
0,-3428,-3900,16900,7276,-1124,15268,5040,5080,15632,6460,-10240,-10880,-2004,32,14980,7276,5268,14280
0,-3340,-3896,16688,7200,-1000,15400,5204,5048,15536,6564,-10104,-10964,-1972,184,15172,7304,5132,14292
0,-3168,-3952,16856,7148,-876,15308,5132,5052,15240,6600,-10188,-10844,-1976,-124,15308,7408,5140,14328
0,-3172,-4084,16912,7164,-856,15456,5084,5120,15420,6488,-10096,-10816,-1936,-348,15276,7248,5004,14312
0,-3152,-4092,17124,7080,-900,15452,5132,5168,15388,6500,-10132,-10860,-1792,-348,15120,7116,4980,14252
0,-3124,-4096,17092,7016,-804,15588,5220,5296,15392,6648,-10068,-10828,-1784,-272,15200,7196,4920,14256
0,-3072,-4064,17000,7144,-748,15444,5268,5216,15556,6540,-10212,-10780,-1764,-312,15172,7308,4896,14416
0,-3104,-4072,17000,7244,-700,15580,5112,5224,15544,6656,-10172,-10988,-1904,-316,14852,7464,4676,14236
0,-3272,-4040,16836,7160,-808,15604,5220,5188,15492,6544,-10208,-10968,-1952,-300,14560,7376,4840,14240
0,-3336,-3900,16792,7136,-768,15568,5236,5064,15520,6572,-10148,-11148,-1992,-284,14772,7604,4956,14136
0,-3432,-3876,16632,7320,-932,15640,5276,4996,15548,6612,-10248,-10944,-1756,52,15132,7348,5040,14232
0,-3380,-3704,16876,7272,-876,15516,5228,5144,15592,6604,-10104,-10872,-1904,-476,14808,7384,4768,14156
0,-3356,-3884,16872,7204,-980,15480,5300,5180,15364,6512,-10096,-10928,-1940,-572,14912,7052,5352,14188
0,-3324,-3788,16760,7120,-812,15544,5280,5252,15400,6620,-10200,-10864,-1876,-500,14788,7024,5112,14228
0,-3280,-3764,16900,7064,-1192,15700,5300,5308,15348,6608,-10208,-10688,-1896,-384,14796,6864,5296,14052
0,-3364,-3788,16904,7092,-948,15408,5404,5320,15376,6596,-10152,-10584,-1808,-252,14960,7004,5028,14004
0,-3340,-3696,16780,7156,-944,15616,5436,5444,15344,6596,-10140,-10692,-1816,-212,15060,7120,4960,14044
0,-3360,-3744,16764,7188,-840,15368,5288,5384,15376,6580,-10100,-10608,-1764,8,15164,6888,5100,13996
0,-3344,-3972,16704,7304,-736,15456,5280,5316,15556,6684,-10164,-10600,-1636,-100,15120,6592,5104,14144
0,-3088,-4084,16776,7112,-924,15708,5324,5320,15532,6540,-10224,-10748,-1620,4,14876,6976,5092,14476
0,-3104,-4276,17716,7304,-1072,15664,5276,5312,15380,6628,-10208,-10652,-1452,376,15012,6908,5012,14288
0,-2440,-4376,17292,6892,-1660,15676,5260,5208,15464,6588,-10112,-10836,-1292,-24,15260,6948,4592,14248
0,-3192,-4340,17032,7364,-592,15900,5144,5192,15424,6552,-10212,-10804,-1468,-260,15532,6792,4932,14208
0,-2924,-4396,17080,6936,-608,15812,5272,5040,15476,6544,-10140,-10808,-1416,592,15600,6792,5264,14248
0,-2936,-4336,16968,7036,-484,15540,5196,5092,15364,6532,-10040,-10844,-1144,1008,15476,6960,4996,14412
0,-2852,-4192,17064,6868,-544,15608,5100,5068,15284,6536,-10244,-10872,-1172,560,15088,6980,4908,14572
0,-2916,-4412,16988,7040,-444,15528,5112,5092,15324,6500,-10248,-10916,-1308,772,15016,6908,4948,14612
0,-2856,-4360,16876,7024,-212,15680,5168,5048,15552,6640,-10224,-10848,-1088,460,14560,6832,4764,14604
0,-2956,-4372,16896,7104,-336,15596,5208,5104,15560,6540,-10232,-10872,-1560,96,14584,7104,4908,14204
0,-2804,-4576,17196,7300,-148,15648,5164,5128,15652,6524,-10296,-11108,-1636,572,14416,7116,5004,14216
0,-3016,-4724,17548,7440,-344,15720,5272,5152,15660,6536,-10272,-10820,-1712,484,14288,6980,5076,14208
0,-3228,-4556,17240,7232,-880,15600,5276,5252,15496,6540,-10176,-10840,-1520,748,14424,6988,5340,14268
0,-3388,-4384,16404,7324,-792,15632,5252,5188,15300,6556,-10180,-10868,-1368,1372,14792,6820,5324,14252
0,-3368,-4256,16736,7344,-892,15428,5148,5296,15444,6448,-10080,-10864,-900,1700,15480,6776,5032,14348
0,-3400,-4240,16416,7224,-992,15364,5276,5232,15496,6648,-10080,-10988,-632,1128,15364,6940,4640,14360
0,-3172,-4348,16712,7120,-992,15216,5264,5148,15348,6656,-10128,-10804,-604,1280,15544,6952,4684,14464
